File,Time,Minute,Second,Current (e/A2S),Dose(e/A2),AreaPore1,AreaPore2
GH,18:28:28,28,28,1820,0.00E+00,0.164,1.825
GJ,18:30:28,30,28,1820,2.18E+05,0.271,1.712
GK,18:31:02,31,2,1820,2.80E+05,0.287,1.655
GL,18:32:19,32,19,1820,4.20E+05,0.571,1.819
GN,18:33:08,33,8,1820,5.10E+05,0.704,1.741
GR,18:34:11,34,11,1820,6.24E+05,0.767,1.587
GT,18:35:08,35,8,1820,7.28E+05,1.184,1.985
GV,18:35:43,35,43,1820,7.92E+05,1.394,1.63
GW,18:35:53,35,53,1820,8.10E+05,1.464,1.916
GZ,18:36:32,36,32,1820,8.81E+05,1.552,1.859
HB,18:38:28,38,28,1820,1.09E+06,1.784,1.757
HC,18:38:46,38,46,1670,1.12E+06,1.746,1.927
HD,18:39:16,39,16,1670,1.17E+06,1.721,1.6
HF,18:39:51,39,51,1670,1.23E+06,1.657,1.645
HK,18:42:50,42,50,1670,1.53E+06,1.887,1.922
HL,18:43:21,43,21,1670,1.58E+06,1.812,1.694
HN,18:44:47,44,47,1670,1.72E+06,1.905,1.652
HP,18:45:33,45,33,1670,1.80E+06,2.121,1.629
